,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
3304,tt4060544,Step Up China, Step Up China,2019, Music,3.7,411
3305,tt4074114,Girls, Gui mi,2014, Comedy&Romance,5.1,346
3306,tt4074958,Somewhere Only We Know, You yi ge di fang zhi you wo men zhi dao,2015, Drama&Romance,5.3,689
3309,tt4076856,Hermits, Hermits,2015, Biography&Documentary&History,7.4,14
3310,tt4076934,My Beloved Bodyguard, Wo de te gong ye ye,2016, Action&Crime&Drama,5.9,1949
3311,tt4078856,Deep in the Heart, Xin mi gong,2014, Drama&Mystery,7.7,1454
3312,tt4079152,The Dead End, Lie ri zhuo xin,2015, Crime&Drama,7.2,1325
3313,tt4079552,Look Love, Look Love,2015, Documentary&Family,7.8,13
3314,tt4079902,Hooligan Sparrow, Hooligan Sparrow,2016, Crime&Documentary&Drama,7.3,398
3317,tt4105564,A Corner of Heaven, Tiantang jiaoluo,2014, Adventure&Drama&Family,5.8,26
3319,tt4108872,Nezha, Nezha,2014, Drama&Family,4.5,60
3321,tt4117310,Death Is Here 3, Bi xian jing hun 3,2014, Horror,4.9,22
3324,tt4131150,River Road, Jia zai shui cao feng mao di di fang,2014, Drama,6.8,94
3326,tt4131508,North by Northeast, Dong bei pian bei,2014, Drama,6.3,66
3331,tt4141314,Spark, Xing huo,2013, Documentary,6.7,10
3334,tt4152230,Love Motel, Kong bu lu guan,2012, Horror,4.6,13
3336,tt4155534,Animal Crackers, Animal Crackers,2017, Adventure&Animation&Comedy,5.8,2643
3337,tt4157940,The Magic Brush, The Magic Brush,2014, Adventure&Animation&Comedy,5.1,46
3338,tt4162910,Frog Kingdom, Frog Kingdom,2013, Adventure&Animation&Comedy,3.6,351
3341,tt4170472,Mountain Cry, Han shan,2015, Action&Drama&Romance,7.3,351
3342,tt4171876,Sweet Sixteen, Xia You Qiao Mu,2016, Drama&Romance,5.1,229
3345,tt4177288,Mysterious Island 2, Gu dao jing hun 2,2013, Drama&Fantasy&Horror,2.5,13
3347,tt4181726,Princess Show, Gong zhu de you huo,2013, Comedy&Drama&Musical,3.8,8
3349,tt4191680,The Empire Symbol, The Empire Symbol,2013, Action&Adventure,4.4,8
3353,tt4209788,Mollys Game, Mollys Game,2017, Biography&Crime&Drama,7.4,149228
3355,tt4217392,Kung Fu Yoga, Gong fu yu jia,2017, Action&Adventure&Comedy,5.2,9204
3357,tt4220960,Sky Ghosts, Sky Ghosts,2011, N/A,8.1,8
3358,tt4226386,A Murder Beside Yan He River, Huang ke gong an jian,2014, History,7.2,41
3359,tt4228850,Bugs, Shi ren chong,2014, Comedy&Horror,3.3,71
3360,tt4235252,Father and Sons, Fu yu zi,2014, Documentary,6.3,23
3361,tt4242158,Lost in Hong Kong, Gang jiong,2015, Action&Adventure&Comedy,5.4,1460
3363,tt4242844,Love on the Cloud, Wei ai zhi jian ru jia jing,2014, Comedy,3.9,159
3365,tt4253132,Xi He, Xi He,2015, Drama&Family&News,7.0,20
3366,tt4253170,The Apostles, Gui zhen,2013, Fantasy&Horror&Sci-Fi,2.4,72
3367,tt4253190,Dragon Force, Dragon Force,2014, Action&Adventure&Animation,6.6,8
3368,tt4253212,Saier Hao Da Dinying 3: Zhanshen Lianmeng, Saier Hao Da Dinying 3: Zhanshen Lianmeng,2013, Adventure&Animation&Family,3.5,14
3369,tt4255554,Ever Since We Love, Wan wu sheng zhang,2015, Drama&Romance,5.1,393
3370,tt4258716,Pleasant Goat and Big Big Wolf: Meet the Pegasus, Xi Yang Yang Yu Hui Tai Liang Zhi Fei Ma Qi Yu Ji,2014, Animation,4.3,16
3372,tt4263056,Mortician, Mortician,2013, Comedy&Drama,5.6,42
3374,tt4273106,The Master, The Master,2014, Action&History,5.0,72
3375,tt4276752,Mojin: The Lost Legend, Xun long jue,2015, Action&Adventure&Drama,6.0,3513
3377,tt4276994,Senior Year, Gaosan,2005, Documentary,7.6,69
3378,tt4284020,Fleet of Time, Cong cong na nian,2014, Drama&Romance,5.6,478
3383,tt4310356,Ye kong que, Ye kong que,2015, Drama&Romance,4.1,136
3384,tt4310772,From Vegas to Macau II, Du cheng feng yun II,2015, Action&Adventure&Comedy,4.6,968
3385,tt4311466,For Love or Money, Lushui Hongyan,2014, Romance,5.4,197
3387,tt4320236,One Hundred Thousand Bad Jokes, Shiwan Ge Lengxiaohua,2014, Animation&Comedy,5.6,216
3392,tt4330400,Magic Train, Magic Train,2014, Animation&Biography&Fantasy,5.6,7
3393,tt4339118,On the Road, On the Road,2014, Drama,6.6,7
3394,tt4344878,Miss Granny, Zhong fan 20 sui,2015, Comedy&Fantasy&Music,6.6,1082
3395,tt4355820,Ma mi, Ma mi,2013, Drama,4.7,11
3396,tt4363250,Lost in the Pacific, Lost in the Pacific,2016, Adventure&Sci-Fi&Thriller,4.1,1665
3397,tt4365336,Lotus Code, Die: Lianhua,2015, Drama&Mystery,5.8,9
3398,tt4365342,Flowers Curse, Hua zhou,2014, Horror,3.4,5
3399,tt4365388,Death Trip, Huanhun Zhi Mishi Mangu,2014, Horror&Thriller,3.8,12
3400,tt4366196,The True Love, Bu ai bu san,2014, Romance,1.8,24
