,Id,Primary Title,Original Title,Year,Genres,Average Rating,# of Votes
338,tt0100983,My Hero, Yat boon maan wah chong tin aai,1990, Action&Comedy&Crime,5.7,345
339,tt0100992,Rebel from China, Yong chuang tian xia,1990, Crime&Drama,4.5,27
340,tt0101258,Days of Being Wild, Ah Fei jing juen,1990, Crime&Drama&Romance,7.6,18803
341,tt0101327,American Shaolin, American Shaolin,1991, Action,5.9,1323
342,tt0101425,Beijing ni zao, Beijing ni zao,1991, N/A,7.0,46
343,tt0101440,Life on a String, Bian zou bian chang,1991, Drama&Music&Romance,6.7,623
344,tt0101545,Career Opportunities, Career Opportunities,1991, Comedy&Romance,5.9,11637
345,tt0101571,Chi qing kuai xu, Chi qing kuai xu,1992, Action&Comedy,5.9,38
346,tt0101640,Raise the Red Lantern, Dà hóng denglong gaogao guà,1991, Drama&History&Romance,8.1,30065
347,tt0101641,The Last Eunuch, Da taijian Li Lianying,1991, Drama&History,6.8,97
348,tt0101756,Dont Fool Me, Chung Wan ying hung,1991, Comedy,5.7,116
349,tt0101811,Enchanted April, Enchanted April,1991, Drama,7.4,6106
350,tt0101864,Crazy Safari, Fei zhou he shang,1991, Comedy&Fantasy,5.5,1064
351,tt0101889,The Fisher King, The Fisher King,1991, Comedy&Drama&Fantasy,7.5,80342
352,tt0101985,A Brighter Summer Day, Gu ling jie shao nian sha ren shi jian,1991, Crime&Drama&Romance,8.4,8209
353,tt0101999,The Banquet, Ho moon yeh yin,1991, Comedy,5.7,330
354,tt0102259,Blue Lightning, Lan se pi li huo,1991, Action,6.2,46
355,tt0102492,My Girl, My Girl,1991, Comedy&Drama&Family,6.9,73530
356,tt0102563,Angel Hunter, Nu xiao feng yun: Xie jiao ru qin,1992, Crime&Thriller,6.4,49
357,tt0102735,The Great Pretenders, Qian wang 1991,1991, Comedy,4.3,264
358,tt0102738,Qingchun wu hui, Qingchun wu hui,1991, Drama,7.6,16
359,tt0102814,The Royal Scoundrel, Sa Tam Chai yue Chow Si Lai,1991, Action&Comedy&Crime,5.4,62
360,tt0102917,The Swordsman in Double Flag Town, Shuang Qi Zhen dao ke,1991, Adventure,7.1,484
361,tt0102926,The Silence of the Lambs, The Silence of the Lambs,1991, Crime&Drama&Thriller,8.6,1292413
362,tt0102932,A Chinese Ghost Story III, Sien lui yau wan III: Dou dou dou,1991, Action&Comedy&Fantasy,6.7,2385
363,tt0103064,Terminator 2: Judgment Day, Terminator 2: Judgment Day,1991, Action&Sci-Fi,8.5,1007310
364,tt0103074,Thelma & Louise, Thelma & Louise,1991, Adventure&Crime&Drama,7.5,138938
